Comment,Description,Designator,Footprint,LibRef,Pins,Quantity,PartNumber,url
104,desc,"C1,",0805_C,libref,2,1,,
10uF,desc,"C4,",0805_C,libref,2,1,,
4.7uF,desc,"C5,",0805_C,libref,2,1,,
10nF,desc,"C6,",0805_C,libref,2,1,,
102,desc,"C7,",0805_C,libref,2,1,,
1uF,desc,"C8,C2,",0805_C,libref,2,2,,
1N4007,desc,"D1,D2,",SMA(DO-214AC)_S2,libref,2,2,b,
SD103AW,desc,"D5,D4,",SOD-123,libref,2,2,,
18V,desc,"DZ1,",LL-34,libref,2,1,b,
8550,desc,"Q1,Q2,",SOT-23(SOT-23-3),libref,3,2,,
8050,desc,"Q3,Q7,Q6,Q4,",SOT-23(SOT-23-3),libref,3,4,,
IRFR7440,desc,"Q5,",TO-252-2,libref,3,1,b,c
22K,desc,"R10,R11,",805,libref,2,2,,
4.7K,desc,"R12,",805,libref,2,1,,
R,desc,"R15,R14,",805,libref,2,2,,
100K,desc,"R17,R8,",805,libref,2,2,,
470K,desc,"R4,R16,R2,",805,libref,2,3,,
47K,desc,"R5,",805,libref,2,1,,
10K,desc,"R6,R3,",805,libref,2,2,,
220K,desc,"R7,R13,R1,",805,libref,2,3,,
2.2K,desc,"R9,",805,libref,2,1,,
L78L12_SOT89,desc,"U1,",SOT-89(SOT-89-3),libref,4,1,b,c
LM358,desc,"U2,",SOIC-8_150MIL,libref,8,1,b,C
TLC555,desc,"U3,",SOIC-8_150MIL,libref,8,1,,
Through Hole Items ,,,,,,,,
100uF,desc,"C3,",CP_Radial_D5.0mm_P2.50mm,libref,2,1,,
LED,desc,"D3,",LED_D3.0mm,libref,2,1,,
30A,desc,"F1,",FUSE6x32,libref,4,1,b,c
Fan,desc,"J1,",Molex_KK-6410-02_02x2.54mm_Straight,libref,2,1,b,c
24V,desc,"J2,",PhoenixContact_GMSTBA-G_02x7.62mm_Angled,libref,2,1,b,c
Lamp,desc,"J3,",PhoenixContact_GMSTBA-G_02x7.62mm_Angled,libref,2,1,b,c
M3_Screwhole,desc,"REF**,REF**,REF**,REF**,",M3_Screwhole,libref,7,4,,
100K,desc,"RV1,",Potentiometer_Alps_RK163_Double_Vertical,libref,6,1,b,?
100k,desc,"RV2,",3362P,libref,3,1,b,c
SW_SPST,desc,"SW1,",PhoenixContact_MSTBA-G_02x5.08mm_Angled,libref,2,1,b,c
470BE,desc,"TH1,",PhoenixContact_MSTBA-G_02x5.08mm_Angled,libref,2,1,b,c
